"code","uri","label_en","label_fr","definition_en","definition_fr"
"TKM",,"Turkmenistan","Turkménistan (le)","Turkmenistan","le Turkménistan"
"TLS",,"Timor-Leste","Timor-Leste (le)","the Democratic Republic of Timor-Leste","la République démocratique du Timor-Leste"
"TON",,"Tonga","Tonga (les)","the Kingdom of Tonga","le Royaume des Tonga"
"TTO",,"Trinidad and Tobago","Trinité-et-Tobago (la)","the Republic of Trinidad and Tobago","la République de Trinité-et-Tobago"
"TUN",,"Tunisia","Tunisie (la)","the Republic of Tunisia","la République tunisienne"
"TUR",,"Türkiye","Türkiye (la)","the Republic of Türkiye","la République de Türkiye"
"TUV",,"Tuvalu","Tuvalu (les)","Tuvalu","les Tuvalu"
"TWN",,"Taiwan Province of China","Province chinoise de Taïwan (la)","Taiwan Province of China","la Province chinoise de Taïwan"
"TZA",,"United Republic of Tanzania (the)","République-Unie de Tanzanie (la)","the United Republic of Tanzania","la République-Unie de Tanzanie"
"UGA",,"Uganda","Ouganda (l')","the Republic of Uganda","la République de l'Ouganda"
"UKR",,"Ukraine","Ukraine (l')","Ukraine","l'Ukraine"
"UMI",,"United States Minor Outlying Islands (the)","Îles mineures éloignées des États-Unis (les)","the United States Minor Outlying Islands","les Îles mineures éloignées des États-Unis"
"URY",,"Uruguay","Uruguay (l')","the Eastern Republic of Uruguay","la République orientale de l'Uruguay"
"USA",,"United States of America (the)","États-Unis d'Amérique (les)","the United States of America","les États-Unis d'Amérique"
"UZB",,"Uzbekistan","Ouzbékistan (l')","the Republic of Uzbekistan","la République d'Ouzbékistan"
"VAT",,"Holy See (the)","Saint-Siège (le)","the Holy See","le Saint-Siège"
"VCT",,"Saint Vincent and the Grenadines","Saint-Vincent-et-les Grenadines","Saint Vincent and the Grenadines","Saint-Vincent-et-les Grenadines"
"VEN",,"Bolivarian Republic of Venezuela (the)","République bolivarienne du Venezuela (la)","the Bolivarian Republic of Venezuela","la République bolivarienne du Venezuela"
"VGB",,"British Virgin Islands (the)","Îles Vierges britanniques (les)","the British Virgin Islands","les Îles Vierges britanniques"
"VIR",,"United States Virgin Islands (the)","Îles Vierges américaines (les)","the United States Virgin Islands","les Îles Vierges américaines"
"VNM",,"Viet Nam","Viet Nam (le)","the Socialist Republic of Viet Nam","la République socialiste du Viet Nam"
"VUT",,"Vanuatu","Vanuatu (le)","the Republic of Vanuatu","la République du Vanuatu"
"WLF",,"Wallis and Futuna Islands (the)","Îles Wallis-et-Futuna (les)","the Wallis and Futuna Islands","les Îles Wallis-et-Futuna"
"WSM",,"Samoa","Samoa (le)","the Independent State of Samoa","l'État indépendant du Samoa"
"YEM",,"Yemen","Yémen (le)","the Republic of Yemen","la République du Yémen"
"ZAF",,"South Africa","Afrique du Sud (l')","the Republic of South Africa","la République sud-africaine"
"ZMB",,"Zambia","Zambie (la)","the Republic of Zambia","la République de Zambie"
"ZWE",,"Zimbabwe","Zimbabwe (le)","the Republic of Zimbabwe","la République du Zimbabwe"
